Name,Average,Min,Max,Accumulated,Frame200
LightBuilder,0.000,0.000,0.000,0.000,0.000
BlueNoiseSampler,0.000,0.000,0.000,0.000,0.000
StratifiedSampler,0.000,0.000,0.000,0.000,0.000
BrdfLut,0.000,0.000,0.000,0.000,0.000
PrefilterIBL,0.000,0.000,0.000,0.000,0.000
RandomNumberGenerator,0.000,0.000,0.000,0.000,0.000
LightSamplerGridStream,0.000,0.000,0.000,0.000,0.000
Visibility buffer,0.292,0.292,0.292,0.292,0.292
Visibility buffer / VisibilityBufferPass1,0.229,0.229,0.229,0.229,0.229
SSGI,0.125,0.125,0.125,0.125,0.125
SSGI / Main,0.125,0.125,0.125,0.125,0.125
GI-1.2,3.141,3.141,3.141,3.141,3.141
GI-1.2 / PurgeRadianceCache,0.018,0.018,0.018,0.018,0.018
GI-1.2 / ReprojectScreenProbes,0.111,0.111,0.111,0.111,0.111
GI-1.2 / LookupScreenProbes,0.020,0.020,0.020,0.020,0.020
GI-1.2 / SpawnScreenProbes,0.016,0.016,0.016,0.016,0.016
GI-1.2 / PatchScreenProbes,0.007,0.007,0.007,0.007,0.007
GI-1.2 / SampleScreenProbes,0.139,0.139,0.139,0.139,0.139
GI-1.2 / PopulateScreenProbesCells,0.211,0.211,0.211,0.211,0.211
GI-1.2 / PopulateMultibounceCells,0.131,0.131,0.131,0.131,0.131
GI-1.2 / CalculateLightSamplerBounds,0.015,0.015,0.015,0.015,0.015
GI-1.2 / CalculateLightSamplerConfiguration,0.005,0.005,0.005,0.005,0.005
GI-1.2 / BuildLightSampler,0.447,0.447,0.447,0.447,0.447
GI-1.2 / GenerateReservoirs,0.153,0.153,0.153,0.153,0.153
GI-1.2 / GenerateMultibounceReservoirs,0.043,0.043,0.043,0.043,0.043
GI-1.2 / PopulateRadianceCache,0.247,0.247,0.247,0.247,0.247
GI-1.2 / UpdateRadianceCache,0.679,0.679,0.679,0.679,0.679
GI-1.2 / UpdateMultibounceCells,0.055,0.055,0.055,0.055,0.055
GI-1.2 / ResolveCells,0.107,0.107,0.107,0.107,0.107
GI-1.2 / BlendScreenProbes,0.099,0.099,0.099,0.099,0.099
GI-1.2 / ReorderScreenProbes,0.010,0.010,0.010,0.010,0.010
GI-1.2 / FilterProbeMask,0.008,0.008,0.008,0.008,0.008
GI-1.2 / FilterScreenProbes,0.096,0.096,0.096,0.096,0.096
GI-1.2 / ProjectScreenProbes,0.044,0.044,0.044,0.044,0.044
GI-1.2 / InterpolateScreenProbes,0.168,0.168,0.168,0.168,0.168
GI-1.2 / TraceReflections,0.006,0.006,0.006,0.006,0.006
GI-1.2 / MarkFireflies,0.014,0.014,0.014,0.014,0.014
GI-1.2 / CleanupFireflies,0.005,0.005,0.005,0.005,0.005
GI-1.2 / ResolveReflections Atrous First,0.009,0.009,0.009,0.009,0.009
GI-1.2 / ResolveReflections Atrous 1,0.014,0.014,0.014,0.014,0.014
GI-1.2 / ResolveReflections Atrous 2,0.014,0.014,0.014,0.014,0.014
GI-1.2 / ResolveReflections Atrous Last,0.018,0.018,0.018,0.018,0.018
GI-1.2 / ReprojectReflections,0.015,0.015,0.015,0.015,0.015
GI-1.2 / ReprojectGI,0.105,0.105,0.105,0.105,0.105
GI-1.2 / FilterGI,0.048,0.048,0.048,0.048,0.048
GI-1.2 / ResolveGI1,0.065,0.065,0.065,0.065,0.065
Atmosphere,0.000,0.000,0.000,0.000,0.000
Skybox,0.014,0.014,0.014,0.014,0.014
Skybox / DrawSkybox,0.014,0.014,0.014,0.014,0.014
Combine,0.038,0.038,0.038,0.038,0.038
FSR,0.389,0.389,0.389,0.389,0.389
FSR / Update Exposure,0.003,0.003,0.003,0.003,0.003
FSR / FSR,0.386,0.386,0.386,0.386,0.386
Auto Exposure,0.020,0.020,0.020,0.020,0.020
Auto Exposure / BuildHistogram,0.016,0.016,0.016,0.016,0.016
Auto Exposure / AutoExposure,0.001,0.001,0.001,0.001,0.001
Auto Exposure / AutoExposureCopyBack,0.003,0.003,0.003,0.003,0.003
Bloom,0.036,0.036,0.036,0.036,0.036
Bloom / Bloom Blur,0.020,0.020,0.020,0.020,0.020
Bloom / Bloom Combine,0.015,0.015,0.015,0.015,0.015
Tone mapping,0.026,0.026,0.026,0.026,0.026
Tone mapping / ToneMap,0.026,0.026,0.026,0.026,0.026
Lens,0.016,0.016,0.016,0.016,0.016
Lens / Lens,0.016,0.016,0.016,0.016,0.016
