Name,Average,Min,Max,Accumulated,Frame200
LightBuilder,0.000,0.000,0.000,0.000,0.000
BrdfLut,0.000,0.000,0.000,0.000,0.000
RandomNumberGenerator,0.000,0.000,0.000,0.000,0.000
LightSamplerSwitcher,0.472,0.472,0.472,0.472,0.472
LightSamplerSwitcher / BuildLightSampler,0.472,0.472,0.472,0.472,0.472
StratifiedSampler,0.000,0.000,0.000,0.000,0.000
BlueNoiseSampler,0.000,0.000,0.000,0.000,0.000
Reference Path Tracer,2.671,2.671,2.671,2.671,2.671
Reference Path Tracer / ReferencePT,2.604,2.604,2.604,2.604,2.604
Reference Path Tracer / FoveationFill,0.066,0.066,0.066,0.066,0.066
Image Metrics,0.000,0.000,0.000,0.000,0.000
Auto Exposure,0.027,0.027,0.027,0.027,0.027
Auto Exposure / BuildHistogram,0.017,0.017,0.017,0.017,0.017
Auto Exposure / AutoExposure,0.001,0.001,0.001,0.001,0.001
Auto Exposure / AutoExposureCopyBack,0.001,0.001,0.001,0.001,0.001
Tone mapping,0.041,0.041,0.041,0.041,0.041
Tone mapping / ToneMap,0.041,0.041,0.041,0.041,0.041
Variance Estimate,0.028,0.028,0.028,0.028,0.028
Variance Estimate / ComputeMean,0.014,0.014,0.014,0.014,0.014
Variance Estimate / ComputeDistance,0.012,0.012,0.012,0.012,0.012
Variance Estimate / ComputeDeviation,0.001,0.001,0.001,0.001,0.001
