Name,Average,Min,Max,Accumulated,Frame2000
LightBuilder,0.000,0.000,0.000,0.000,0.000
BrdfLut,0.000,0.000,0.000,0.000,0.000
RandomNumberGenerator,0.000,0.000,0.000,0.000,0.000
LightSamplerSwitcher,0.004,0.004,0.004,0.004,0.004
LightSamplerSwitcher / BuildLightSampler,0.004,0.004,0.004,0.004,0.004
StratifiedSampler,0.000,0.000,0.000,0.000,0.000
BlueNoiseSampler,0.000,0.000,0.000,0.000,0.000
Reference Path Tracer,3.980,3.980,3.980,3.980,3.980
Reference Path Tracer / ReferencePT,3.872,3.872,3.872,3.872,3.872
Reference Path Tracer / FoveationFill,0.077,0.077,0.077,0.077,0.077
Image Metrics,0.000,0.000,0.000,0.000,0.000
Auto Exposure,0.026,0.026,0.026,0.026,0.026
Auto Exposure / BuildHistogram,0.026,0.026,0.026,0.026,0.026
Auto Exposure / AutoExposure,0.003,0.003,0.003,0.003,0.003
Auto Exposure / AutoExposureCopyBack,0.001,0.001,0.001,0.001,0.001
Tone mapping,0.040,0.040,0.040,0.040,0.040
Tone mapping / ToneMap,0.040,0.040,0.040,0.040,0.040
Variance Estimate,0.028,0.028,0.028,0.028,0.028
Variance Estimate / ComputeMean,0.013,0.013,0.013,0.013,0.013
Variance Estimate / ComputeDistance,0.013,0.013,0.013,0.013,0.013
Variance Estimate / ComputeDeviation,0.001,0.001,0.001,0.001,0.001
