Name,Average,Min,Max,Accumulated,Frame2000
LightBuilder,0.000,0.000,0.000,0.000,0.000
BrdfLut,0.000,0.000,0.000,0.000,0.000
RandomNumberGenerator,0.000,0.000,0.000,0.000,0.000
LightSamplerSwitcher,0.004,0.004,0.004,0.004,0.004
LightSamplerSwitcher / BuildLightSampler,0.004,0.004,0.004,0.004,0.004
StratifiedSampler,0.000,0.000,0.000,0.000,0.000
BlueNoiseSampler,0.000,0.000,0.000,0.000,0.000
Reference Path Tracer,6.556,6.556,6.556,6.556,6.556
Reference Path Tracer / ReferencePT,6.556,6.556,6.556,6.556,6.556
Image Metrics,0.000,0.000,0.000,0.000,0.000
Auto Exposure,0.157,0.157,0.157,0.157,0.157
Auto Exposure / BuildHistogram,0.143,0.143,0.143,0.143,0.143
Auto Exposure / AutoExposure,0.001,0.001,0.001,0.001,0.001
Auto Exposure / AutoExposureCopyBack,0.001,0.001,0.001,0.001,0.001
Tone mapping,0.028,0.028,0.028,0.028,0.028
Tone mapping / ToneMap,0.028,0.028,0.028,0.028,0.028
Variance Estimate,0.044,0.044,0.044,0.044,0.044
Variance Estimate / ComputeMean,0.025,0.025,0.025,0.025,0.025
Variance Estimate / ComputeDistance,0.014,0.014,0.014,0.014,0.014
Variance Estimate / ComputeDeviation,0.001,0.001,0.001,0.001,0.001
